img_path,isCSD,isExtractable,isRgroup
S0143720816300407.html,sc1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300407-sc1_lrg.jpg, Scheme 1.   Structure of the ligand H  4  L used in this work.   
S0143720816300559.html,sc2,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300559-sc2_lrg.jpg, Scheme 2.   Chemical structures of target  1  and analogues  2  and  3  .   
S0143720816300274.html,gr1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300274-gr1_lrg.jpg, Fig. 1.   Structures of the dyes  7  and  8  .   
S0143720816300389.html,gr1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300389-gr1_lrg.jpg," Fig. 1.   X-ray crystal structures of dyes  7c  (1),  7d  (2),  7f  (3),  7g  (4) and  7h  (5).   "
S0143720816300213.html,gr1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300213-gr1_lrg.jpg," Fig. 1.   Optimized structures of the compounds A, B, C by B3LYP/6-311++G* method.   "
S0143720816300286.html,gr1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300286-gr1_lrg.jpg," Fig. 1.   Structures of C.I. Disperse red 1 (1a), C.I. Disperse red 13 (1b), and C.I. Disperse blue 106 (1c).   "
S0143720816300419.html,sc1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300419-sc1_lrg.jpg," Scheme 1.   Molecular structures of compounds  DPF  ,  PDOF  ,  DDOF  and  NDOF  .   "
S0143720816300432.html,gr1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300432-gr1_lrg.jpg, Fig. 1.   Structures of the investigated molecules and the corresponding substituents.   
S0143720816300201.html,sc2,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816300201-sc2_lrg.jpg, Scheme 2.   Chemical structures of obtained derivatives together with reaction yields (in brackets).   
S0143720816301310.html,gr1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301310-gr1_lrg.jpg," Fig. 1.   (a) XRD patterns of the CYPO:3mol%Eu  2+  , CYPO:3mol%Eu  2+  , 12mol%Mn  2+  and Ca  9  Y(PO  4  )  7  :3mol%Eu  2+  phosphors as well as the JCPDS card as a comparison. (b) Crystal structure of CYPO host.   "
S0143720816301371.html,gr5,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301371-gr5_lrg.jpg, Fig. 5.   Most stable structure of isomer  I  (hexafluorophosphate) in DMSO.   
S0143720816301371.html,gr6,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301371-gr6_lrg.jpg, Fig. 6.   Most stable structure of isomer  I  (perchlorate) in DMSO.   
S0143720816301371.html,gr7,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301371-gr7_lrg.jpg, Fig. 7.   Most stable structure of isomer  I  with a chlorine atom (hexafluorophosphate) in DMSO.   
S0143720816301115.html,gr1,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr1_lrg.jpg, Fig. 1.   Structures of TPEN and probes 1–3.   
S0143720816301115.html,gr2,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr2_lrg.jpg, Fig. 2.   Structures of probes 4–7.   
S0143720816301115.html,gr3,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr3_lrg.jpg," Fig. 3.   Structures of probes 4, 8–10.   "
S0143720816301115.html,gr4,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr4_lrg.jpg, Fig. 4.   Structures of probes 11–15.   
S0143720816301115.html,gr5,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr5_lrg.jpg, Fig. 5.   Structures of probes 16 and 17.   
S0143720816301115.html,gr6,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr6_lrg.jpg, Fig. 6.   Structures of probes 18 and 19.   
S0143720816301115.html,gr7,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr7_lrg.jpg, Fig. 7.   Structures of probes 20 and 21.   
S0143720816301115.html,gr9,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr9_lrg.jpg, Fig. 9.   Structures of probes 23 and 24.   
S0143720816301115.html,r12,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr12_lrg.jpg, Fig. 12.   Structures of probes 27–31.   
S0143720816301115.html,r14,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr14_lrg.jpg, Fig. 14.   Structure of probe 35.   
S0143720816301115.html,r19,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr19_lrg.jpg, Fig. 19.   Structure of probe 41.   
S0143720816301115.html,r20,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr20_lrg.jpg, Fig. 20.   Structures of probes 42.   
S0143720816301115.html,r31,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr31_lrg.jpg, Fig. 31.   Structures of the probes 53–55.   
S0143720816301115.html,r34,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr34_lrg.jpg, Fig. 34.   Structures of probes 58.   
S0143720816301115.html,r36,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr36_lrg.jpg, Fig. 36.   Structures of probes 60.   
S0143720816301115.html,r37,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr37_lrg.jpg, Fig. 37.   Structure of probes 61.   
S0143720816301115.html,r39,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr39_lrg.jpg, Fig. 39.   Structures of probes 63 and reaction of the probe 63h with Zn  2+  .   
S0143720816301115.html,r41,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr41_lrg.jpg, Fig. 41.   Structures of probes 65.   
S0143720816301115.html,r43,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr43_lrg.jpg, Fig. 43.   Structures of probes 67.   
S0143720816301115.html,r44,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr44_lrg.jpg, Fig. 44.   Left: Structures of probes 68; right: Photoexcitation and photoemission contour plots of a and b: (a) a in the absence of zinc ions; (b) a in the presence of zinc ions (3 equiv.); (c) b in the absence of zinc ions and (d) b in the presence of zinc ions (3 equiv.).   
S0143720816301115.html,r45,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr45_lrg.jpg, Fig. 45.   Structure of probe 69.   
S0143720816301115.html,r47,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr47_lrg.jpg, Fig. 47.   Structures of probes 71–72.   
S0143720816301115.html,r48,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr48_lrg.jpg," Fig. 48.   Structure of probe 73, and Fluorescence emission spectra of 73 (100 nM) excited at 468 nm upon titration of Zn  2+  at the concentration of 0–130 nM.   "
S0143720816301115.html,r49,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr49_lrg.jpg, Fig. 49.   Structures of probes 74.   
S0143720816301115.html,r50,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr50_lrg.jpg, Fig. 50.   Structures of probes 75.   
S0143720816301115.html,r51,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr51_lrg.jpg, Fig. 51.   Structures of probes 76.   
S0143720816301115.html,r53,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr53_lrg.jpg," Fig. 53.   Structure of probe 78, and fluorescence spectra of an esterase-treated solution of 78 (2 μM) excited at 445 nm (circles) and 505 nm (squares) before (solid) and after (open) addition of excess ZnCl  2  (20 μM).   "
S0143720816301115.html,r54,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr54_lrg.jpg," Fig. 54.   Structures of probes 79, 80.   "
S0143720816301115.html,r55,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr55_lrg.jpg, Fig. 55.   Structures of probes 81.   
S0143720816301115.html,r57,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr57_lrg.jpg, Fig. 57.   Structures of probe 83.   
S0143720816301115.html,r61,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr61_lrg.jpg," Fig. 61.   Structures of probes 87, 88.   "
S0143720816301115.html,r62,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr62_lrg.jpg, Fig. 62.   Structures of probes 89–91.   
S0143720816301115.html,r63,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr63_lrg.jpg, Fig. 63.   Structures of probes 92.   
S0143720816301115.html,r65,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr65_lrg.jpg," Fig. 65.   Structures of probes 94, 95.   "
S0143720816301115.html,r66,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr66_lrg.jpg, Fig. 66.   Structure of probe 96.   
S0143720816301115.html,r68,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr68_lrg.jpg, Fig. 68.   Structures of probes 98.   
S0143720816301115.html,r69,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr69_lrg.jpg, Fig. 69.   Structure of probe 99.   
S0143720816301115.html,r71,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr71_lrg.jpg, Fig. 71.   Structure of probe 101.   
S0143720816301115.html,r72,http://origin-ars.els-cdn.com/content/image/1-s2.0-S0143720816301115-gr72_lrg.jpg," Fig. 72.   Structures of probes 102, 103.   "
